Voltage,Current
2.912470833,0.0002
2.8124375,0.0002
2.612370833,0.0002
2.2122375,0.0002
1.411970833,0.0002
0.59880191,0.0001996
0.381119726,0.00012704
0.374317158,0.000124772
0.360712021,0.000120237
0.333501748,0.000111167
0.279081202,9.30E-05
0.170240109,5.67E-05
-0.047442075,-9.42E-06
-0.482806444,-9.73E-05
-0.700488629,-0.000143255
-1.135852998,-0.000240881
-1.199754564,-0.000255869
-1.327557696,-0.000286332
-1.401976582,-1.81E-06
-1.417941342,-1.88E-06
-1.449870861,-2.04E-06
-1.513729901,-2.39E-06
-1.641447981,-3.29E-06
-1.896884139,-6.23E-06
-2.407756457,-2.23E-05
-3,-9.82E-05
-2.99921849,-9.80E-05
-2.997655469,-9.76E-05
-2.994529427,-9.68E-05
-2.988277344,-9.53E-05
-2.975773177,-9.24E-05
-2.950764844,-8.68E-05
-2.900748177,-7.66E-05
-2.800714844,-5.97E-05
-2.600648177,-3.62E-05
-2.200514844,-1.33E-05
-2.10048151,-1.04E-05
-1.900414844,-6.28E-06
-1.50028151,-2.31E-06
-1.269069352,-1.29E-06
-0.806645034,-4.01E-07
-0.246807052,-7.13E-08
0,0.00E+00
0.872868914,4.75E-07
1.100526547,8.47E-07
1.555841813,2.65E-06
1.700680544,3.81E-06
1.990358008,7.87E-06
2.217693027,1.39E-05
2.449413608,2.48E-05
2.450148166,0.0002
2.450148166,0.0002
2.450148166,0.0002
2.450148166,0.0002
2.450148167,0.0002
2.450148168,0.0002
2.450148171,0.0002
2.450148177,0.0002
2.450148188,0.0002
2.45014821,0.0002
2.450148254,0.0002
2.450148343,0.0002
2.45014852,0.0002
2.450148874,0.0002
2.450149582,0.0002
2.450150998,0.0002
2.450153831,0.0002
2.450159497,0.0002
2.450170829,0.0002
2.450193492,0.0002
2.450238819,0.0002
2.450329473,0.0002
2.450510781,0.0002
2.450873397,0.0002
2.451598628,0.0002
2.45304909,0.0002
2.455950014,0.0002
2.461751863,0.0002
2.47335556,0.0002
2.496562954,0.0002
2.542977743,0.0002
2.635807321,0.0002
2.821466476,0.0002
3,0.0002
2.987495833,0.0002
2.9624875,0.0002
2.912470833,0.0002
2.8124375,0.0002
2.612370833,0.0002
2.2122375,0.0002
1.411970833,0.0002
0.59880191,0.0001996
0.381119726,0.00012704
0.374317158,0.000124772
0.360712021,0.000120237
0.333501748,0.000111167
0.279081202,9.30E-05
0.170240109,5.67E-05
-0.047442075,-9.42E-06
-0.482806444,-9.73E-05
-0.700488629,-0.000143255
-1.135852998,-0.000240881
-1.199754564,-0.000255869
-1.327557696,-0.000286332
-1.401976586,-1.81E-06
-1.417941347,-1.88E-06
-1.449870869,-2.04E-06
-1.513729913,-2.39E-06
-1.641448001,-3.29E-06
-1.896884177,-6.23E-06
-2.407756529,-2.23E-05
-3,-9.82E-05
-2.99921849,-9.80E-05
-2.997655469,-9.76E-05
-2.994529427,-9.68E-05
-2.988277344,-9.53E-05
-2.975773177,-9.24E-05
-2.950764844,-8.68E-05
-2.900748177,-7.66E-05
-2.800714844,-5.97E-05
-2.600648177,-3.62E-05
-2.200514844,-1.33E-05
-2.10048151,-1.04E-05
-1.900414844,-6.28E-06
-1.50028151,-2.31E-06
-1.269069352,-1.29E-06
-0.806645034,-4.01E-07
-0.246807052,-7.13E-08
0,0.00E+00
0.872868914,4.75E-07
1.100526547,8.47E-07
1.555841813,2.65E-06
1.700680544,3.81E-06
1.990358008,7.87E-06
2.217596899,1.39E-05
2.449295717,2.48E-05
2.450030175,0.0002
2.450030175,0.0002
2.450030175,0.0002
2.450030176,0.0002
2.450030176,0.0002
2.450030178,0.0002
2.450030181,0.0002
2.450030187,0.0002
2.4500302,0.0002
2.450030225,0.0002
2.450030276,0.0002
2.450030376,0.0002
2.450030578,0.0002
2.450030981,0.0002
2.450031788,0.0002
2.450033401,0.0002
2.450036627,0.0002
2.45004308,0.0002
2.450055984,0.0002
2.450081794,0.0002
2.450133414,0.0002
2.450236653,0.0002
2.450443131,0.0002
2.450856087,0.0002
2.451681999,0.0002
2.453333823,0.0002
2.456637472,0.0002
2.463244769,0.0002
2.476459363,0.0002
2.502888552,0.0002
2.555746928,0.0002
2.661463682,0.0002
2.87289719,0.0002
3,0.0002
2.987495833,0.0002
2.9624875,0.0002
2.912470833,0.0002
2.8124375,0.0002
2.612370833,0.0002
2.2122375,0.0002
1.411970833,0.0002
0.59880191,0.0001996
0.381119726,0.00012704
0.374317158,0.000124772
0.360712021,0.000120237
0.333501748,0.000111167
0.279081202,9.30E-05
0.170240109,5.67E-05
-0.047442075,-9.42E-06
-0.482806444,-9.73E-05
-0.700488629,-0.000143255
-1.135852998,-0.000240881
-1.199754564,-0.000255869
-1.327557696,-0.000286332
-1.401976581,-1.81E-06
-1.417941341,-1.88E-06
-1.44987086,-2.04E-06
-1.5137299,-2.39E-06
-1.641447978,-3.29E-06
-1.896884135,-6.23E-06
-2.407756448,-2.23E-05
-3,-9.82E-05
-2.99921849,-9.80E-05
-2.997655469,-9.76E-05
-2.994529427,-9.68E-05
-2.988277344,-9.53E-05
-2.975773177,-9.24E-05
-2.950764844,-8.68E-05
-2.900748177,-7.66E-05
-2.800714844,-5.97E-05
-2.600648177,-3.62E-05
