time,membrane_voltage,input_current
0.00200002000390625,0.2368085,1.953125e-09
0.00200002001171875,0.2368085,5.859375e-09
0.00200002002734375,0.2368085,1.367188e-08
0.00200002005859375,0.2368085,2.929687e-08
0.00200002012109375,0.2368085,6.054687e-08
0.00200002024609375,0.2368086,1.230469e-07
0.00200002049609375,0.2368088,2.480469e-07
0.00200002099609375,0.2368099,4.980469e-07
0.00200002199609375,0.2368145,9.980469e-07
0.00200002399609375,0.2368336,1.998047e-06
0.00200002799609375,0.2369114,3.998047e-06
0.002000032,0.2370422,6e-06
0.00200004,0.2374627,1e-05
0.00200054,0.2703649,1e-05
0.00200054184,0.2704747,9.08e-06
0.00200054552,0.2706719,7.24e-06
0.002000552879999999,0.2709318,3.56e-06
0.00200056,0.271014,0.0
0.002005542270609383,0.270834,0.0
0.002107942270609219,0.2671606,0.0
0.002210342270609055,0.263537,0.0
0.00225002,0.2621461,0.0
0.00225002000390625,0.2621461,1.953125e-09
0.00225002001171875,0.2621461,5.859375e-09
0.00225002002734375,0.2621461,1.367188e-08
0.00225002005859375,0.2621461,2.929687e-08
0.00225002012109375,0.2621461,6.054687e-08
0.00225002024609375,0.2621462,1.230469e-07
0.00225002049609375,0.2621464,2.480469e-07
0.00225002099609375,0.2621475,4.980469e-07
0.00225002199609375,0.2621521,9.980469e-07
0.00225002399609375,0.2621712,1.998047e-06
0.00225002799609375,0.2622489,3.998047e-06
0.002250032,0.2623796,6e-06
0.002250040000000001,0.2627999,1e-05
0.00225054,0.2956921,1e-05
0.00225054184,0.2958018,9.08e-06
0.00225054552,0.295999,7.24e-06
0.002250552879999999,0.2962587,3.56e-06
0.00225056,0.2963408,0.0
0.002308342270609299,0.294066,0.0
0.002410742270609135,0.2900775,0.0
0.00250002,0.2866443,2.168404e-16
0.00250002000390625,0.2866443,1.953125e-09
0.002500020011718751,0.2866443,5.859375e-09
0.002500020027343751,0.2866443,1.367188e-08
0.00250002005859375,0.2866443,2.929688e-08
0.002500020066406251,0.2866443,3.320313e-08
0.002500020082031251,0.2866443,4.101562e-08
0.002500020113281251,0.2866443,5.664063e-08
0.002500020175781251,0.2866443,8.789063e-08
0.002500020300781251,0.2866443,1.503906e-07
0.00250002055078125,0.2866446,2.753906e-07
0.002500021050781251,0.2866458,5.253906e-07
0.002500022050781251,0.2866505,1.025391e-06
0.00250002405078125,0.2866699,2.025391e-06
0.00250002805078125,0.2867483,4.025391e-06
0.002500032304687504,0.2868896,6.152344e-06
0.00250003745312842,0.2871409,8.726564e-06
0.00250004,0.2872976,1e-05
0.00250054,0.32018,1e-05
0.002500542,0.3202982,9e-06
0.002500546,0.3205082,7e-06
0.002500552,0.3207237,4e-06
